City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
387,Constitucion,CL,72.52,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
398,Mareeba,AU,70.45,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
405,Mollendo,PE,73.49,overcast clouds,-17.0231,-72.0147,Hostal La Casa de Melgar
417,Jijiga,ET,65.25,broken clouds,9.35,42.8,RAMAAS HOTEL
421,Tocopilla,CL,73.36,clear sky,-22.092,-70.1979,Hotel Galvarino
422,Chato,TZ,70.11,broken clouds,-2.6378,31.7669,Morning Star Inn
455,Aswan,EG,69.1,clear sky,24.0934,32.907,Nuba Nile
459,Lahat,ID,72.45,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
465,Maldonado,UY,67.23,scattered clouds,-34.6667,-54.9167,La Cimarrona
469,Dong Hoi,VN,65.62,overcast clouds,17.4833,106.6,Nam Long Hotel
470,Alofi,NU,73.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
477,Ghogha,IN,72.43,few clouds,21.6833,72.2833,hanumanji temple of bhankhal
485,Malanje,AO,71.6,broken clouds,-9.5402,16.341,Hotel Ginga
490,Geraldton,AU,70.21,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
499,Khambhaliya,IN,66.56,few clouds,22.2072,69.6683,"Kalyan's Hotel, Banquet & Restaurant."
505,Celestun,MX,73.99,broken clouds,20.8667,-90.4,Posada Lilia
506,Esna,EG,66.22,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
515,Argelia,CO,71.64,light rain,2.2556,-77.2488,Hotel San Fernando Argelia
524,Lukulu,ZM,67.84,light rain,-14.3707,23.242,Ruth Guest House
528,Dingle,PH,74.84,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
531,Luau,AO,67.75,broken clouds,-10.7073,22.2247,Casa- Bernardo Cândido
544,Marsh Harbour,BS,74.82,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
548,Wanning,CN,69.82,overcast clouds,18.8003,110.3967,Paradise Hotel
555,Zambezi,ZM,66.87,light rain,-13.5432,23.1047,Royal Kutachika Lodge
561,Yenangyaung,MM,65.52,overcast clouds,20.4667,94.8833,Hotel Country
566,Cepu,ID,74.91,overcast clouds,-7.1475,111.5906,OYO 673 Hotel Cepu Indah 1
569,Bexhill,AU,67.59,overcast clouds,-28.7667,153.35,Caress Care Counselling & Equine Assisted Learning
575,Gidole,ET,68.7,overcast clouds,5.65,37.3667,Shallom mekaneyesus church
589,Qui Nhon,VN,71.15,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
596,Perth,AU,66.2,scattered clouds,-31.9333,115.8333,Beatty Lodge
607,Kumbo,CM,73.9,clear sky,6.2,10.6667,Western Inn Resort
620,Turbat,PK,70.54,light rain,26.0023,63.044,Mubashar Quarters
623,Gondanglegi,ID,74.53,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
631,Taltal,CL,71.47,clear sky,-25.4,-70.4833,Residencial Karime
641,Vereeniging,ZA,74.84,overcast clouds,-26.6731,27.9261,Riviera on Vaal Resort
654,Ahuimanu,US,73.45,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
664,Tuy Hoa,VN,72.37,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
666,Kiunga,PG,72.59,moderate rain,-6.1219,141.2906,Airport Lodge Kiunga
672,Chicama,PE,68.54,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
679,Flinders,AU,65.8,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
697,Gladstone,AU,71.53,few clouds,-23.85,151.25,Highpoint International Hotel
