City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
91,Elizabeth City,36.2946,-76.2511,30.22,50,0,4.61,US,2022-01-30 15:20:10
92,Turan,16.0678,108.2208,69.78,94,75,3.44,VN,2022-01-30 15:16:54
93,San Quintin,30.4833,-115.95,54.77,72,0,3.36,MX,2022-01-30 15:20:10
94,Taloqan,36.7361,69.5345,43.86,60,100,3.91,AF,2022-01-30 15:20:11
95,San-Pedro,4.7485,-6.6363,86.5,62,63,10.63,CI,2022-01-30 15:20:11
96,Birao,10.2849,22.7882,90.5,9,8,6.67,CF,2022-01-30 15:20:11
97,Sosnovo,60.5514,30.2144,27.99,96,100,9.01,RU,2022-01-30 15:20:12
98,Ariquemes,-9.9133,-63.0408,72.01,98,100,4.05,BR,2022-01-30 15:15:48
99,Kruisfontein,-34.0033,24.7314,83.88,61,64,21.39,ZA,2022-01-30 15:20:13
100,Kalemie,-5.9475,29.1947,73.92,85,100,7.36,CD,2022-01-30 15:20:13
101,Batie,9.8833,-2.9167,95.9,8,74,10.04,BF,2022-01-30 15:20:14
102,Malakal,9.5334,31.6605,89.82,15,41,7.87,SS,2022-01-30 15:20:14
103,Mahebourg,-20.4081,57.7,82.69,74,40,13.8,MU,2022-01-30 15:20:15
104,Denpasar,-8.65,115.2167,82.06,78,20,8.05,ID,2022-01-30 15:20:15
105,Johnson City,36.3134,-82.3535,37.08,59,0,4.61,US,2022-01-30 15:20:16
106,Ende,-8.8432,121.6623,79.25,88,100,4.76,ID,2022-01-30 15:20:16
107,Arraial Do Cabo,-22.9661,-42.0278,89.56,70,40,5.75,BR,2022-01-30 15:20:17
108,Batemans Bay,-35.7167,150.1833,74.19,95,71,2.95,AU,2022-01-30 15:20:17
109,Lasa,46.6166,10.7002,49.69,85,3,9.57,IT,2022-01-30 15:20:18
110,Nanortalik,60.1432,-45.2371,14.52,63,100,6.82,GL,2022-01-30 15:20:18
111,Manali,13.1667,80.2667,80.08,78,69,10.45,IN,2022-01-30 15:20:19
112,Gongzhuling,43.5008,124.8198,11.16,69,0,2.68,CN,2022-01-30 15:20:19
113,Teknaf,20.8624,92.3058,61.88,61,0,11.01,BD,2022-01-30 15:20:19
114,Yellowknife,62.456,-114.3525,-16.08,69,100,8.05,CA,2022-01-30 15:20:20
115,Lata,40.1629,-8.3327,67.91,24,87,3.85,PT,2022-01-30 15:20:20
116,Nikolskoye,59.7035,30.7861,28.4,94,100,8.86,RU,2022-01-30 15:20:21
117,Ilinskiy,55.619,38.1182,27.37,86,75,13.42,RU,2022-01-30 15:20:22
118,Kitimat,54.0524,-128.6534,37.9,34,100,1.01,CA,2022-01-30 15:16:07
119,Palu,-0.8917,119.8707,76.55,95,100,1.03,ID,2022-01-30 15:20:22
120,Conde,-7.2597,-34.9075,85.46,70,40,13.8,BR,2022-01-30 15:20:23
121,Vila Velha,-20.3297,-40.2925,89.55,74,40,10.0,BR,2022-01-30 15:20:23
122,Butaritari,3.0707,172.7902,81.84,77,62,21.09,KI,2022-01-30 15:20:23
123,Ostrovnoy,68.0531,39.5131,3.15,98,84,8.23,RU,2022-01-30 15:20:24
124,Padilla,3.2204,-76.3139,74.77,87,100,0.83,CO,2022-01-30 15:20:24
125,Kurayoshi,35.4333,133.8167,35.42,98,100,8.46,JP,2022-01-30 15:20:25
126,Yining,29.0361,114.5636,39.92,83,99,2.06,CN,2022-01-30 15:20:25
127,Thompson,55.7435,-97.8558,-2.04,84,100,2.3,CA,2022-01-30 15:20:25
128,Najran,17.4924,44.1277,72.25,21,11,11.05,SA,2022-01-30 15:20:26
129,Beyneu,45.3167,55.2,32.72,80,96,12.24,KZ,2022-01-30 15:20:27
130,Grenville,12.1167,-61.6167,82.45,72,54,18.34,GD,2022-01-30 15:20:27
131,Grindavik,63.8424,-22.4338,28.87,50,75,39.12,IS,2022-01-30 15:20:28
132,Saskylakh,71.9167,114.0833,-15.2,100,100,2.44,RU,2022-01-30 15:20:28
133,Alofi,-19.0595,-169.9187,73.29,94,90,4.61,NU,2022-01-30 15:20:29
134,Kodiak,57.79,-152.4072,24.31,68,40,14.97,US,2022-01-30 15:20:29
135,Hasaki,35.7333,140.8333,37.8,52,98,14.72,JP,2022-01-30 15:20:35
136,Gobabis,-22.45,18.9667,70.03,75,97,17.49,NA,2022-01-30 15:20:35
137,Kupang,-10.1667,123.5833,79.38,94,75,3.44,ID,2022-01-30 15:20:35
138,Coihueco,-36.6167,-71.8333,72.34,43,0,10.36,CL,2022-01-30 15:20:36
139,Saint George,37.1041,-113.5841,43.36,50,0,0.0,US,2022-01-30 15:18:39
140,Opuwo,-18.0607,13.84,85.6,18,53,20.11,NA,2022-01-30 15:20:37
141,Provideniya,64.3833,-173.3,6.21,79,1,8.66,RU,2022-01-30 15:20:37
142,Senhor Do Bonfim,-10.4614,-40.1894,85.44,46,55,6.33,BR,2022-01-30 15:20:38
143,Tiksi,71.6872,128.8694,-15.72,100,73,4.18,RU,2022-01-30 15:20:38
144,Colesberg,-30.72,25.0972,88.34,18,100,5.61,ZA,2022-01-30 15:20:39
145,Nantucket,41.2835,-70.0995,19.09,62,39,22.37,US,2022-01-30 15:15:48
146,New Norfolk,-42.7826,147.0587,57.76,74,1,1.61,AU,2022-01-30 15:20:40
147,Ribeira Grande,38.5167,-28.7,63.0,55,20,18.41,PT,2022-01-30 15:20:40
148,Leningradskiy,69.3833,178.4167,-8.21,93,100,1.83,RU,2022-01-30 15:20:41
149,Port-Gentil,-0.7193,8.7815,85.96,74,40,10.36,GA,2022-01-30 15:20:41
150,Cabo San Lucas,22.8909,-109.9124,70.52,80,0,3.44,MX,2022-01-30 15:18:50
151,Viedma,-40.8135,-62.9967,71.58,35,29,23.87,AR,2022-01-30 15:20:42
152,Touba,8.2833,-7.6833,96.37,9,39,7.96,CI,2022-01-30 15:20:42
153,Sinnamary,5.3833,-52.95,80.76,75,76,8.99,GF,2022-01-30 15:20:42
154,Hofn,64.2539,-15.2082,32.02,93,75,13.8,IS,2022-01-30 15:20:43
155,Seoul,37.5683,126.9778,26.04,50,0,4.61,KR,2022-01-30 15:20:44
156,Egvekinot,66.3167,-179.1667,-0.2,62,28,8.23,RU,2022-01-30 15:20:44
157,Sawakin,19.1059,37.3321,72.54,60,43,13.69,SD,2022-01-30 15:20:44
158,Tasiilaq,65.6145,-37.6368,8.76,35,0,37.2,GL,2022-01-30 15:20:45
159,Cherskiy,68.75,161.3,-28.89,100,80,3.58,RU,2022-01-30 15:20:46
160,Corinto,37.9407,22.9573,54.01,62,12,2.68,GR,2022-01-30 15:20:46
161,Mitu,1.1983,-70.1733,85.66,40,99,5.53,CO,2022-01-30 15:16:06
162,Shimoda,34.6667,138.95,39.11,64,100,10.51,JP,2022-01-30 15:20:47
163,Biak,-0.9131,122.8766,77.31,79,100,7.14,ID,2022-01-30 15:20:47
164,Touros,-5.1989,-35.4608,86.9,62,25,15.1,BR,2022-01-30 15:20:48
165,Udachnyy,66.4167,112.4,-27.62,100,34,3.02,RU,2022-01-30 15:20:48
166,Bredasdorp,-34.5322,20.0403,82.27,69,10,17.27,ZA,2022-01-30 15:20:48
167,Dudinka,69.4058,86.1778,-7.73,96,90,10.29,RU,2022-01-30 15:20:49
168,Lagoa,39.05,-27.9833,57.74,66,54,22.01,PT,2022-01-30 15:20:49
169,Gangarampur,25.4,88.5167,62.04,48,0,3.67,IN,2022-01-30 15:20:50
